Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,Class
42,Scrypt,PoW/PoS,41.99995383,42.0,-0.337950550689025,0.9872752784286632,-0.4274330183829259,42 Coin,3
404,Scrypt,PoW/PoS,1055184902.04,532000000.0,-0.3212888008373565,0.9874382954758428,-0.42780588997619323,404Coin,3
1337,X13,PoW/PoS,29279424622.5027,314159265359.0,2.3100778841059095,1.6150541721544904,-0.5208859702016078,EliteCoin,3
BTC,SHA-256,PoW,17927175.0,21000000.0,-0.14654434533413752,-1.303039280152701,0.1459277162808789,Bitcoin,0
ETH,Ethash,PoW,107684222.6865,0.0,-0.1635303562936955,-1.9632589739052104,0.32935592447782935,Ethereum,0
LTC,Scrypt,PoW,63039243.3000049,84000000.0,-0.1682123798714107,-1.1252023410981224,0.0033925975465521952,Litecoin,0
DASH,X11,PoW/PoS,9031294.37563393,22000000.0,-0.38975188151822515,1.1787596513006267,-0.40623324930051563,Dash,3
XMR,CryptoNight-V7,PoW,17201143.1449131,0.0,-0.1586748950053354,-2.1712138431774513,0.3742058710810299,Monero,0
ETC,Ethash,PoW,113359703.0,210000000.0,-0.1619718001397877,-1.9633544233269942,0.32933073340231495,Ethereum Classic,0
ZEC,Equihash,PoW,7383056.25,21000000.0,-0.15449810315112886,-2.106659673677087,0.31848344625677166,ZCash,0
BTS,SHA-512,PoS,2741570000.0,3600570502.0,-0.25077922539742226,1.5872033405885984,-0.21941439568708687,Bitshares,3
DGB,Multiple,PoW,11406219141.0,21000000000.0,0.16570977154770797,-1.8216046936365082,0.2556957761648756,DigiByte,0
BTCD,SHA-256,PoW/PoS,1288862.0,22000000.0,-0.3151129480522302,0.8094168592414036,-0.2849211920475469,BitcoinDark,3
XPY,SHA-256,PoS,11995334.8847328,12500000.0,-0.2710997576632432,0.6249202277388544,-0.05253514063542585,PayCoin,3
PRC,Scrypt,PoW,5768310.0,21000000.0,-0.16935871073673905,-1.1251953195766775,0.003416655155923137,ProsperCoin,0
KOBO,X15,PoW/PoS,25542535.5881841,350000000.0,-0.2371476495891608,1.8023398924841367,-0.529411069140759,KoboCoin,3
SPR,X11,PoW,11149733.9976203,20000000.0,-0.2213677299387992,-0.9337016705703338,0.024620082449479323,Spreadcoin,0
ARG,Scrypt,PoW,12205795.4449549,64000000.0,-0.16897513949746404,-1.1252128121277376,0.0034099305322346975,Argentum,0
AUR,Scrypt,PoW/PoS,18135099.992959,16768584.0,-0.3376101164673529,0.9872745341425353,-0.4274402802984934,Aurora Coin,3
BLU,Scrypt,PoW/PoS,635423900.0,0.0,-0.3301888786754359,0.9875224267750913,-0.42762169929672583,BlueCoin,3
XMY,Multiple,PoW,1688254250.0,2000000000.0,-0.08773460516632633,-1.8165488749561016,0.2607081170714939,MyriadCoin,0
MOON,Scrypt,PoW,88.0,384000000000.0,2.5535861240750872,-1.3037604178703321,-0.0395613428935264,MoonCoin,0
ZET,SHA-256,PoW,170204389.754849,169795588.0,-0.1436290915267967,-1.3030492467166372,0.14586584447117723,ZetaCoin,0
SXC,Scrypt,PoW,128940951.183046,250000000.0,-0.1662301924351148,-1.1252539040620095,0.003354448097462712,SexCoin,0
QTL,Scrypt,PoW,7357794.7925,100000000.0,-0.16877906095038828,-1.1252314389424152,0.0034073405152365735,Quatloo,0
ENRG,Scrypt,PoW/PoS,123062801.128773,0.0,-0.33644734521631203,0.9873231437504499,-0.42746956027719896,EnergyCoin,3
QRK,Quark,PoW,259557164.91477,247000000.0,-0.228711672832223,-0.44860731314889807,0.06039990585457971,QuarkCoin,0
RIC,Groestl,PoW,49548585.1412917,84000000.0,-0.2034296663766112,-1.134234271851237,0.10789798207319021,Riecoin,0
DGC,Scrypt,PoW,33442988.3440364,48166000.0,-0.1688280161671617,-1.1251971885839007,0.0034053967601744253,Digitalcoin ,0
BTB,Scrypt,PoW/PoS,42579.476901,500000.0,-0.3379464856068707,0.987275062476731,-0.4274330869754041,BitBar,3
CAT,Scrypt,PoW,7219956.64626131,21000000.0,-0.16934097894175137,-1.1251947549582184,0.003416224108175853,Catcoin,0
CBX,Scrypt,PoW/PoS,1039116.65144562,1000000.0,-0.3379307671657714,0.9872752175637731,-0.42743343885048973,CryptoBullion,3
CCN,Scrypt,PoW,4703879.51824446,13140000.0,-0.16942745247218288,-1.125192078428953,0.0034178510138948813,CannaCoin,0
CRYPT,X11,PoW,4996986.20575291,18000000.0,-0.2214570686084461,-0.9337031336179603,0.024622133293477132,CryptCoin,0
CSC,Scrypt,PoC,39999997299.8568,40000000000.0,0.6647871298261299,0.5557299127541151,-0.3189184448915986,CasinoCoin,3
DMD,Groestl,PoW/PoS,3304487.74735637,4380000.0,-0.3729316250019742,0.9782478433125401,-0.32293311120518703,Diamond,3
XVG,Multiple,PoW,15929530669.1206,16555000000.0,0.18943976337507687,-1.817778278982533,0.25485017689890094,Verge,0
DVC,SHA-256,PoW,18773857500.0,21000000000.0,0.23133257474602012,-1.305500079127673,0.13801015379468246,DevCoin,0
